Country Code,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,Austria,29670.0,30890.0,32390.0,34230.0,35300.0,34530.0,35390.0,36970.0,37820.0,38210.0,38990.0,39890.0,40920.0,42000.0,43610.0,44780.0,42540.0
BE,Belgium,28480.0,29590.0,30830.0,32340.0,32840.0,32090.0,33330.0,34060.0,34770.0,35210.0,35950.0,36960.0,37960.0,39130.0,40260.0,41620.0,39580.0
BG,Bulgaria,2710.0,3110.0,3560.0,4240.0,4880.0,4930.0,5080.0,5640.0,5780.0,5790.0,5960.0,6380.0,6840.0,7420.0,8000.0,8820.0,8840.0
CH,Switzerland,43880.0,45170.0,46950.0,47440.0,50590.0,51710.0,58170.0,65750.0,67330.0,66340.0,67650.0,76400.0,75090.0,73830.0,73140.0,76230.0,76370.0
CY,Cyprus,19150.0,20360.0,21660.0,22930.0,24170.0,23110.0,23400.0,23270.0,22500.0,20880.0,20450.0,21100.0,22230.0,23550.0,24840.0,26090.0,24240.0
CZ,Czechia,9460.0,10780.0,12130.0,13470.0,15540.0,14260.0,15020.0,15740.0,15470.0,15170.0,15000.0,16080.0,16790.0,18330.0,19850.0,21140.0,20120.0
DE,Germany,27780.0,28130.0,29380.0,30860.0,31530.0,30390.0,31940.0,33550.0,34130.0,34860.0,36150.0,37050.0,38070.0,39530.0,40620.0,41800.0,40490.0
DK,Denmark,37460.0,39280.0,41480.0,42740.0,43990.0,41880.0,43840.0,44500.0,45530.0,46100.0,47090.0,48050.0,49420.0,51140.0,52180.0,53370.0,53600.0
EE,Estonia,7160.0,8350.0,10050.0,12210.0,12420.0,10580.0,11060.0,12540.0,13520.0,14320.0,15240.0,15710.0,16530.0,18120.0,19570.0,20930.0,20190.0
EL,Greece,17680.0,18130.0,19770.0,21060.0,21840.0,21390.0,20150.0,18310.0,17060.0,16400.0,16270.0,16300.0,16190.0,16450.0,16730.0,17090.0,15440.0
ES,Spain,20050.0,21240.0,22630.0,23780.0,24130.0,23060.0,23040.0,22760.0,22050.0,21900.0,22220.0,23220.0,23980.0,24970.0,25750.0,26420.0,23690.0
FI,Finland,30370.0,31390.0,32830.0,35370.0,36560.0,34040.0,35080.0,36750.0,37130.0,37570.0,37880.0,38570.0,39580.0,41080.0,42320.0,43440.0,43030.0
FR,France,27180.0,27960.0,29050.0,30330.0,30960.0,29930.0,30690.0,31510.0,31820.0,32080.0,32420.0,33020.0,33430.0,34230.0,35070.0,36050.0,33960.0
HR,Croatia,7840.0,8540.0,9400.0,10260.0,11210.0,10550.0,10610.0,10600.0,10420.0,10420.0,10370.0,10740.0,11320.0,12080.0,12880.0,13660.0,12400.0
HU,Hungary,8300.0,9030.0,9150.0,10190.0,10800.0,9440.0,9980.0,10250.0,10110.0,10340.0,10770.0,11460.0,11850.0,12980.0,13920.0,14950.0,14100.0
IE,Ireland,38420.0,40940.0,43310.0,44790.0,41660.0,37350.0,36700.0,37500.0,38180.0,38830.0,41900.0,55970.0,56870.0,61830.0,67080.0,72360.0,74870.0
IS,Iceland,38060.0,45850.0,45900.0,50830.0,34600.0,29510.0,32650.0,34280.0,35800.0,37470.0,41150.0,47750.0,56070.0,63830.0,63060.0,61470.0,51690.0
IT,Italy,25110.0,25680.0,26590.0,27480.0,27660.0,26480.0,26940.0,27470.0,26990.0,26740.0,26980.0,27480.0,28210.0,28940.0,29580.0,30080.0,27880.0
LT,Lithuania,5400.0,6310.0,7360.0,8980.0,10210.0,8500.0,9050.0,10340.0,11180.0,11850.0,12480.0,12860.0,13560.0,14950.0,16250.0,17490.0,17710.0
LU,Luxembourg,61480.0,65020.0,72260.0,78310.0,81780.0,78380.0,83550.0,85330.0,87540.0,90030.0,92760.0,95090.0,96230.0,97440.0,99150.0,100890.0,101760.0
LV,Latvia,5180.0,6160.0,7830.0,10350.0,11260.0,8830.0,8550.0,9550.0,10870.0,11320.0,11850.0,12430.0,12950.0,13900.0,15130.0,16020.0,15500.0
MT,Malta,12240.0,12760.0,13330.0,14240.0,15160.0,15180.0,16440.0,16630.0,17530.0,18650.0,20120.0,22450.0,23130.0,25520.0,26700.0,27820.0,25320.0
NL,Netherlands,32510.0,33760.0,35760.0,37800.0,39350.0,37800.0,38470.0,38960.0,38970.0,39300.0,39820.0,40730.0,41590.0,43090.0,44920.0,46880.0,45870.0
NO,Norway,46390.0,53740.0,59090.0,62260.0,66490.0,57620.0,66220.0,72350.0,79000.0,77440.0,73180.0,66980.0,63690.0,66950.0,69710.0,67640.0,59130.0
PL,Poland,5400.0,6450.0,7200.0,8230.0,9600.0,8240.0,9400.0,9860.0,10070.0,10190.0,10630.0,11190.0,11110.0,12170.0,12960.0,13900.0,13650.0
PT,Portugal,14520.0,15100.0,15800.0,16640.0,16960.0,16600.0,16990.0,16680.0,16010.0,16300.0,16640.0,17350.0,18060.0,19020.0,19950.0,20840.0,19430.0
RO,Romania,2820.0,3720.0,4590.0,6110.0,7140.0,6150.0,6200.0,6540.0,6620.0,7190.0,7570.0,8080.0,8630.0,9580.0,10500.0,11520.0,11360.0
SE,Sweden,34490.0,34970.0,37150.0,39240.0,38490.0,33840.0,39950.0,43690.0,45170.0,46020.0,45260.0,46480.0,46990.0,47730.0,46260.0,46390.0,45940.0
SI,Slovenia,13860.0,14560.0,15680.0,17370.0,18760.0,17760.0,17750.0,18050.0,17630.0,17700.0,18250.0,18830.0,19590.0,20820.0,22140.0,23170.0,22310.0
