Country Code,SIEC Code,Consumption in KTOE,SIEC,Country,Parent,Renewable,Sunburst_Parent,Sunburst_SIEC
AT,C0121,1208.7,Coking coal,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
BE,C0121,1143.2,Coking coal,Belgium,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
CZ,C0121,2429.4,Coking coal,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
DE,C0121,7096.0,Coking coal,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
ES,C0121,475.8,Coking coal,Spain,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
FI,C0121,757.2,Coking coal,Finland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
FR,C0121,2253.8,Coking coal,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
HU,C0121,820.3,Coking coal,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
IT,C0121,1169.4,Coking coal,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
NL,C0121,2678.8,Coking coal,Netherlands,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
PL,C0121,9903.6,Coking coal,Poland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
RO,C0121,8.3,Coking coal,Romania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
SE,C0121,1017.5,Coking coal,Sweden,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
SK,C0121,1362.1,Coking coal,Slovakia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
AT,C0129,705.8,Other bituminous coal,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
BE,C0129,841.2,Other bituminous coal,Belgium,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
BG,C0129,445.9,Other bituminous coal,Bulgaria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
CY,C0129,14.8,Other bituminous coal,Cyprus,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
CZ,C0129,1486.2,Other bituminous coal,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
DE,C0129,13824.1,Other bituminous coal,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
DK,C0129,897.1,Other bituminous coal,Denmark,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
EE,C0129,7.3,Other bituminous coal,Estonia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
EL,C0129,186.7,Other bituminous coal,Greece,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
ES,C0129,2313.4,Other bituminous coal,Spain,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
FI,C0129,1001.0,Other bituminous coal,Finland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
FR,C0129,2644.4,Other bituminous coal,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
HR,C0129,354.7,Other bituminous coal,Croatia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
HU,C0129,67.0,Other bituminous coal,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
IE,C0129,377.7,Other bituminous coal,Ireland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
IT,C0129,3785.5,Other bituminous coal,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
LT,C0129,121.7,Other bituminous coal,Lithuania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
