SIEC Code,Country Code,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Country,SIEC
RA000,AT,9893.826,9898.05,9755.658,9786.775,9690.806,9504.472,9188.346,9293.505,9107.89,8750.534,8930.058,8389.896,8120.744,7890.582,7445.93,6882.524,6151.175,Austria,Renewables and biofuels
RA000,BE,4391.026,3606.312,3491.706,3346.811,3228.994,2931.874,2797.826,2849.42,2548.79,2255.959,2317.785,1678.878,1356.594,1126.784,986.741,870.653,729.108,Belgium,Renewables and biofuels
RA000,BG,2430.734,2321.727,2237.053,2038.203,1991.781,1921.972,1804.91,1838.949,1625.975,1464.067,1380.937,1162.191,1141.415,1029.132,1079.869,1011.611,976.964,Bulgaria,Renewables and biofuels
RA000,CY,273.879,238.167,233.272,173.518,156.844,150.533,134.169,123.131,112.479,107.139,107.928,104.79,91.194,69.444,54.115,51.035,50.046,Cyprus,Renewables and biofuels
RA000,CZ,4507.576,4363.713,4079.709,4017.463,3950.971,3888.452,3792.574,3607.342,3341.767,2867.46,2840.667,2615.304,2366.742,2160.874,2051.316,1965.736,1889.445,Czechia,Renewables and biofuels
RA000,DE,40048.567,38385.888,37187.936,35030.734,33411.214,32873.904,31138.468,31361.7,30154.484,27223.536,26798.289,23303.898,23048.573,22075.0,19663.28,16237.726,14244.227,Germany,Renewables and biofuels
RA000,DK,4524.836,5655.458,5502.676,5380.39,4956.196,4632.021,4306.762,4144.128,3926.229,3717.724,3669.829,3179.003,3081.394,2975.39,2731.437,2631.48,2432.7,Denmark,Renewables and biofuels
RA000,EE,906.883,1006.77,986.972,959.689,930.605,890.887,819.041,812.372,818.599,789.495,778.666,689.861,628.078,582.366,505.03,547.694,572.281,Estonia,Renewables and biofuels
RA000,EL,3405.828,3172.667,3003.911,2949.78,2721.229,2748.375,2572.111,2476.59,2456.61,2193.441,1988.764,1860.325,1809.777,1878.006,1663.772,1582.841,1521.558,Greece,Renewables and biofuels
RA000,ES,16458.229,15783.478,15128.991,14864.777,14424.626,13498.893,13082.388,12623.812,12261.682,11793.929,12747.54,11777.642,10520.788,9794.273,9030.155,8528.98,8153.994,Spain,Renewables and biofuels
